8,2,1,0,-6.75,-6.76,3.62,-0.21,0.66,-0.20,1.72,11.80,0.95
65,2,1,57,-6.74,-6.71,3.55,-0.21,0.67,-0.20,2.44,6.47,0.66
122,2,1,114,-7.07,-6.79,3.06,-0.21,0.66,-0.19,1.66,7.95,1.68
179,2,1,171,-6.71,-6.76,3.28,-0.20,0.66,-0.20,1.56,-1.03,2.28
236,2,1,228,-6.26,-6.79,3.03,-0.20,0.67,-0.20,0.23,-2.66,2.05
293,2,1,285,-6.34,-6.91,3.50,-0.20,0.67,-0.21,-0.72,-5.42,1.72
350,2,1,342,-6.15,-6.81,3.65,-0.20,0.67,-0.19,-0.57,-6.26,1.37
407,2,1,399,-7.34,-7.53,2.69,-0.21,0.67,-0.20,1.47,-24.36,1.23
464,2,1,456,-6.96,-10.29,6.10,-0.21,0.67,-0.19,10.21,-20.64,1.78
521,2,1,513,2.78,-11.92,-13.28,-0.22,0.67,-0.20,34.86,-33.66,-0.38
578,2,1,570,-12.70,-12.41,11.60,-0.23,0.68,-0.17,67.11,-69.55,3.60
635,2,1,627,5.24,-19.47,-19.60,-0.24,0.70,-0.14,98.25,-110.28,-4.37
692,2,1,684,3.37,-19.60,-8.67,-0.25,0.72,-0.07,154.32,-18.46,40.30
749,2,1,741,-5.41,-5.51,-2.12,-0.23,0.74,-0.03,226.61,8.55,58.70
806,2,1,798,-3.23,-7.49,3.38,-0.22,0.75,0.05,278.59,248.05,23.07
863,2,1,855,-5.92,-3.15,7.12,-0.24,0.74,0.09,269.78,286.68,-142.85
920,2,1,912,-11.70,-0.10,18.60,-0.34,0.67,-0.07,22.35,286.68,-286.72
977,2,1,969,-4.71,-5.30,3.59,-0.32,0.62,-0.19,-66.27,171.39,-202.62
1034,2,1,1026,-6.72,-5.07,5.99,-0.32,0.57,-0.23,-65.35,73.64,-124.38
1091,2,1,1083,-0.76,-4.20,8.20,-0.33,0.51,-0.25,-39.38,-26.20,-69.76
1148,2,1,1140,-0.54,-1.73,8.92,-0.33,0.49,-0.27,-18.75,59.08,-27.79
1205,2,1,1197,-1.70,-0.04,8.49,-0.31,0.48,-0.27,-1.16,11.33,7.99
1262,2,1,1254,-2.74,-0.34,6.88,-0.31,0.49,-0.28,6.61,0.76,43.28
1319,2,1,1311,-5.06,-2.16,6.07,-0.33,0.51,-0.24,4.34,-247.88,88.65
1376,2,1,1368,-7.91,-2.66,5.47,-0.39,0.54,-0.18,-38.33,-286.72,139.26
1433,2,1,1425,-5.28,-3.67,7.79,-0.43,0.56,-0.07,-103.61,-286.72,163.84
1490,2,1,1482,-5.68,-2.40,5.07,-0.42,0.61,-0.01,-139.11,-93.77,176.79
1547,2,1,1539,-6.50,-3.16,7.76,-0.36,0.67,-0.01,-138.63,-31.03,185.16
1604,2,1,1596,-8.81,-5.15,6.32,-0.31,0.70,-0.05,-129.33,31.30,186.38
1661,2,1,1653,-6.84,-7.24,4.74,-0.25,0.72,-0.09,-133.36,-94.40,167.70
1718,2,1,1710,-6.01,-8.32,2.66,-0.22,0.73,-0.11,-143.34,-146.40,118.41
1775,2,1,1767,-8.23,-8.77,2.04,-0.22,0.72,-0.16,-129.54,-137.35,69.10
1832,2,1,1824,-7.47,-9.09,3.59,-0.21,0.71,-0.16,-92.70,-10.61,42.68
1889,2,1,1881,-7.87,-9.22,-0.09,-0.20,0.69,-0.19,-55.33,-9.48,38.40
1946,2,1,1938,-8.04,-8.27,1.93,-0.18,0.69,-0.21,-34.18,-43.88,36.72
2003,2,1,1995,-7.34,-8.44,2.47,-0.19,0.68,-0.20,-17.20,-77.54,39.94
2060,2,1,2052,-4.76,-8.07,3.05,-0.19,0.67,-0.19,-1.74,24.53,39.04
2142,2,2,0,-6.93,-7.20,1.73,-0.21,0.68,-0.19,0.43,26.28,-0.73
2199,2,2,57,-6.83,-6.71,3.52,-0.21,0.68,-0.19,0.67,7.03,1.77
2256,2,2,114,-7.11,-6.66,3.07,-0.20,0.68,-0.19,0.61,6.99,0.57
2313,2,2,171,-7.23,-7.05,3.59,-0.20,0.68,-0.19,1.53,-10.34,2.68
2370,2,2,228,-6.09,-7.01,3.07,-0.20,0.68,-0.19,-0.56,3.58,2.45
2427,2,2,285,-6.60,-7.00,3.34,-0.21,0.69,-0.18,0.11,-9.78,2.19
2484,2,2,342,-6.69,-6.76,2.99,-0.20,0.68,-0.19,0.35,-17.46,2.11
2541,2,2,399,-7.63,-8.64,1.82,-0.21,0.68,-0.18,1.96,-40.51,4.87
2598,2,2,456,-6.87,-11.57,9.91,-0.22,0.68,-0.19,7.60,-77.29,9.29
2655,2,2,513,3.61,-6.81,-17.59,-0.25,0.68,-0.16,25.54,-117.98,11.25
2712,2,2,570,-11.33,-12.33,9.13,-0.25,0.70,-0.14,47.62,-64.24,14.81
2769,2,2,627,-3.90,-6.36,10.35,-0.26,0.71,-0.13,82.05,-14.32,24.52
2826,2,2,684,-8.49,-5.95,-13.47,-0.25,0.73,-0.08,130.71,6.20,25.74
2883,2,2,741,-5.37,-8.67,-4.10,-0.24,0.75,-0.05,160.03,-9.18,34.27
2940,2,2,798,-5.82,-8.02,-9.31,-0.23,0.75,0.02,206.54,-80.53,55.87
2997,2,2,855,-5.07,-6.46,0.43,-0.21,0.75,0.08,260.07,191.69,56.79
3054,2,2,912,-5.71,-3.38,8.70,-0.27,0.71,0.15,285.84,286.68,-87.72
3111,2,2,969,-13.21,-2.10,12.98,-0.38,0.65,0.06,130.37,286.68,-268.78
3168,2,2,1026,-13.13,-4.50,8.06,-0.38,0.58,-0.16,-26.17,286.68,-225.98
3225,2,2,1083,-7.26,-3.87,2.19,-0.35,0.53,-0.23,-42.77,77.04,-147.53
3282,2,2,1140,-5.16,-3.55,6.16,-0.34,0.47,-0.25,-37.12,21.51,-78.78
3339,2,2,1197,-1.19,-2.25,7.61,-0.34,0.45,-0.25,-21.27,-53.99,-24.39
