8,3,1,0,-6.79,-6.61,3.51,-0.20,0.68,-0.17,-2.87,-23.68,5.44
65,3,1,57,-6.16,-6.38,4.29,-0.20,0.69,-0.17,-2.43,-21.94,5.08
122,3,1,114,-7.13,-5.95,4.47,-0.21,0.68,-0.17,-0.83,-22.72,4.88
179,3,1,171,-5.49,-6.65,4.01,-0.21,0.69,-0.17,-2.84,-13.98,4.31
236,3,1,228,-6.25,-6.72,3.90,-0.21,0.68,-0.16,-0.80,-7.69,3.00
293,3,1,285,-6.76,-6.64,3.38,-0.21,0.69,-0.16,-1.44,-8.89,2.35
350,3,1,342,-7.42,-6.76,3.52,-0.22,0.68,-0.17,-1.83,-15.76,2.89
407,3,1,399,-7.21,-7.82,2.67,-0.22,0.68,-0.17,-0.64,-37.39,6.46
464,3,1,456,-8.06,-7.65,2.59,-0.23,0.69,-0.16,-1.49,-38.74,6.89
521,3,1,513,-8.20,-8.85,0.88,-0.24,0.67,-0.15,6.48,-89.97,10.76
578,3,1,570,6.06,-9.65,-19.60,-0.25,0.70,-0.13,33.49,-109.52,16.69
635,3,1,627,-0.19,-0.88,-9.95,-0.26,0.70,-0.11,116.83,-63.44,24.95
692,3,1,684,-2.18,-4.42,5.33,-0.26,0.73,-0.06,228.20,79.03,53.65
749,3,1,741,-7.29,2.54,3.09,-0.24,0.75,0.03,286.68,286.68,18.59
806,3,1,798,-9.98,3.76,3.09,-0.26,0.74,0.08,286.68,286.68,-181.55
863,3,1,855,-19.60,-4.41,3.71,-0.34,0.69,0.02,72.87,286.68,-286.72
920,3,1,912,-13.65,-5.02,6.69,-0.37,0.63,-0.09,-42.62,86.71,-190.53
977,3,1,969,-5.61,-4.22,3.31,-0.40,0.56,-0.12,-38.70,-66.33,-95.29
1034,3,1,1026,-5.69,-4.01,3.17,-0.42,0.53,-0.12,-27.93,-68.93,-18.00
1091,3,1,1083,-3.66,-3.39,4.80,-0.42,0.54,-0.09,-16.51,-85.83,41.79
1148,3,1,1140,-3.89,-3.16,6.09,-0.43,0.55,-0.08,-15.02,-70.69,86.63
1205,3,1,1197,-6.70,-1.62,5.27,-0.42,0.59,-0.03,-24.30,-61.84,125.04
1262,3,1,1254,-9.18,-1.95,5.81,-0.40,0.62,-0.02,-48.98,-165.16,150.86
1319,3,1,1311,-9.90,-2.77,2.90,-0.38,0.65,0.02,-91.36,-191.12,156.53
